Name,Win%,SOS,Pace,offRtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV,ORB,FT/FGA
Florida,0.618,0.8832,0.42000000000000026,0.19721767594108014,0.22500000000000003,0.30902777777777785,0.1516129032258065,0.08726003490401396,0.17734724292101342,0.33082706766917286,0.47457627118644063,0.15762711864406784,0.0181818181818182,0.33762886597938147,0.293929712460064
Georgia State,0.686,0.3688,0.3950000000000003,0.19067103109656297,0.17708333333333331,0.32638888888888884,0.18709677419354848,0.07329842931937178,0.15946348733233984,0.3759398496240601,0.6101694915254238,0.2135593220338984,0.11818181818181817,0.2680412371134021,0.2012779552715655
Gonzaga,0.865,0.5836,0.48500000000000015,0.26759410801963995,0.21458333333333335,0.29340277777777785,0.23709677419354833,0.2181500872600349,0.18181818181818188,0.24060150375939848,0.2994350282485876,0.2644067796610169,0.09090909090909091,0.4458762886597938,0.2715654952076678
Houston,0.771,0.6464,0.425,0.21685761047463176,0.22500000000000003,0.2552083333333333,0.18870967741935474,0.19371727748691103,0.2250372578241431,0.25563909774436083,0.2655367231638418,0.20169491525423738,0.13636363636363635,0.4639175257731959,0.293929712460064
Iona,0.588,0.3924,0.575,0.1939443535188216,0.175,0.3177083333333333,0.19838709677419344,0.06457242582897038,0.278688524590164,0.27067669172932335,0.1864406779661017,0.21186440677966112,0.10909090909090911,0.2268041237113402,0.2587859424920128
Kansas State,0.676,0.8296000000000001,0.32999999999999974,0.1710310965630115,0.25000000000000006,0.2482638888888889,0.18387096774193556,0.06806282722513086,0.24590163934426232,0.46616541353383456,0.28248587570621475,0.18813559322033907,0.15454545454545457,0.2628865979381444,0.33865814696485624
Kansas,0.795,0.9547999999999999,0.5100000000000001,0.24549918166939444,0.10833333333333338,0.32465277777777773,0.23870967741935478,0.11867364746945894,0.2652757078986588,0.26315789473684204,0.37288135593220345,0.27288135593220336,0.1227272727272727,0.3530927835051547,0.15654952076677323
Kentucky,0.703,0.9092,0.4899999999999999,0.19721767594108014,0.4625,0.05729166666666667,0.1758064516129033,0.17626527050610824,0.16542473919523104,0.17293233082706766,0.5310734463276836,0.17627118644067805,0.17727272727272728,0.5128865979381443,0.5271565495207668
Lipscomb,0.697,0.32799999999999996,0.85,0.1595744680851064,0.3895833333333334,0.30208333333333337,0.1790322580645162,0.15183246073298434,0.26974664679582716,0.20300751879699247,0.2090395480225989,0.17627118644067805,0.22727272727272718,0.32731958762886604,0.47603833865814693
Long Island University,0.514,0.1524,0.6450000000000002,0.16284779050736503,0.3416666666666667,0.29861111111111116,0.1758064516129033,0.13089005235602094,0.14008941877794337,0.14285714285714282,0.1864406779661017,0.1847457627118645,0.2318181818181818,0.36340206185567014,0.3961661341853036
Loyola (IL),0.842,0.5524,0.29500000000000026,0.18903436988543365,0.2104166666666667,0.22916666666666666,0.25161290322580643,0.13612565445026173,0.3248882265275709,0.29323308270676685,0.14124293785310735,0.27627118644067794,0.24545454545454548,0.17525773195876287,0.28434504792332277
